,User,Date Created,Number of Likes,Source of Tweet,Tweet,Number of Retweet
67,Nizamül MÜLK,2023-01-13 09:27:45+00:00,0,Twitter for Android,RT @ihsandenizli: @genelpatron01 #DXGM #oxro #dexgame #bitcoin Dexgame oyuna yeni başlıyor. Güzel günler de adından çok söz ettirecek.,1
68,Ochife Chukwuneku,2023-01-13 09:27:44+00:00,0,Twitter Web App,"RT @corechaincrypto: Community Questions guys? Be honest, Just like some great Bitcoiners like Mike saylor and co who still uphold Satoshi…",468
69,BlockChain Host,2023-01-13 09:27:42+00:00,0,Twitter Web App,"RT @MMCrypto: What’s next for #Bitcoin?

             $16‘000                  $20‘000
                  👇                              👇",361
70,Bitcoin Only Store 🇦🇺 🦘⚡,2023-01-13 09:27:41+00:00,0,Twitter for Android,"RT @JeffBooth: When talking about Davos, It is more correct to say ""the people who benefit the most from the manipulation of money"" than th…",67
71,Yorch Viru,2023-01-13 09:27:41+00:00,0,Twitter for Android,RT @BitcoinMagazine: Miss El Salvador wears #Bitcoin outfit to Miss Universe 2023 🇸🇻 https://t.co/n1TWo1xoGt,1822
72,triadi lesmana,2023-01-13 09:27:41+00:00,0,Twitter Web App,RT @LunarCrush: #Bitcoin 🔥🚀🌕,13
73,TruongNguyen.eth,2023-01-13 09:27:37+00:00,0,Twitter for iPhone,"RT @DesmondDoss555: Mỗi lần giá Bitcoin lên, xuất hiện muôn vàn các kiểu shill và marketing khác nhau thúc đẩy cho dự án đặc biệt là về giá…",44
74,RichQuack,2023-01-13 09:27:37+00:00,0,Twitter Web App,"RT @ShitCoinBscGem: Top 10 Most Visited Projects on @CoinMarketCap last 24h💎

🥇@RichQuack - $QUACK
🥈#Bitcoin    - $BTC
🥉@solana - $SOL
4️⃣…",62
75,Karen 👑,2023-01-13 09:27:37+00:00,0,Twitter for Android,"RT @OrbeonProtocol: 💰 50K GIVEAWAY 💰

There are just 3 weeks left of our pre-sale, and that means there are only 3 weeks left for you to av…",5268
76,🤑𝕲𝖊𝖔𝖗𝖌𝖊🎃,2023-01-13 09:27:37+00:00,0,Twitter Web App,RT @hodlonaut: Bitcoin is halving its block reward at the same time the Central Banks will be doing the craziest money printing experiment…,312
77,SoulManatee,2023-01-13 09:27:34+00:00,0,Twitter Web App,"RT @SimpleBitss: Buy Dominance Boosters

Get More Dominance

&amp; Increase Your Hashrate in the Mining Block

👉https://t.co/QWjCzlkq76
 
#Bitc…",2
78,ᴘᴀᴜʟ,2023-01-13 09:27:34+00:00,0,Twitter Web App,RT @krakenfx: 📙 What advice do you have for someone who is brand new to #Bitcoin?,148
79,Bitcoin Portugal,2023-01-13 09:27:33+00:00,0,Twitter for iPhone,"RT @125embitcoin: 111.95€ (-10.44%) 
#bitcoin 
#portugal",1
80,Riyan,2023-01-13 09:27:31+00:00,0,Twitter for Android,RT @AurelienOhayon: #BITCOIN BULL RUN BEGINS. https://t.co/ZwuVYmag6E,221
81,Mundo Digital,2023-01-13 09:27:31+00:00,0,Twitter Web App,RT @BitcoinMagazine: Miss El Salvador wears #Bitcoin outfit to Miss Universe 2023 🇸🇻 https://t.co/n1TWo1xoGt,1822
82,ravi,2023-01-13 09:27:31+00:00,0,Twitter Web App,RT @BTCTN: The #MissUniverse contestant from El Salvador has surprised viewers by featuring #bitcoin as part of her national costume. #Alej…,98
